Ele_A,A num,cs,Ele_B,B num,Hf,E,Abun,Atm mass
H,1,30.508171,-,-,-,-,99.9851,1.0079
He,4,0.8646487,-,-,-,-,99.9998633,4.0026
Li,7,1.0863503,-,-,-,-,92.52,6.941
Be,9,6.5119915,-,-,-,-,100,9.0122
B,11,5.070105,-,-,-,-,80.12,10.811
C,12,4.9538145,-,-,-,-,98.903,12.0107
N,14,12.18727,-,-,-,-,99.6349,14.0067
O,16,3.9153984,-,-,-,-,99.76215,15.9994
F,19,3.7488732,F,20,1.14E+01,1633.602,100,18.9984
Ne,20,2.5628595,Ne,21,-,-,90.483,20.1797
Na,23,3.9260106,Na,24,5.40E+04,1368.633,100,22.9897
Mg,24,3.8790364,Mg,25,-,-,78.993,24.305
Mg,25,2.8393037,Mg,26,-,-,10,24.305
Mg,26,2.9244096,Mg,27,5.66E+02,843.76,11,24.305
Al,27,1.6870087,Al,28,1.33E+02,1778.85,100,26.9815
Si,28,2.1619177,Si,29,-,-,92.231,28.0855
P,31,4.338166,P,-,-,-,100,30.9738
S,32,0.5339858,S,33,-,-,95.029,32.065
S,33,3.4135752,S,34,-,-,4.25,32.065
S,34,2.3336067,S,35,7.55E+06,-,0.75,32.065
S,36,2.3670337,S,37,3.04E+02,3103.36,0.01,32.065
Cl,35,65.35449,Cl,36,-,-,75.777,35.453
Cl,37,1.5862675,Cl,38,2.23E+03,2167.405,24.333,35.453
Ar,36,79.68296,Ar,37,3.02E+06,-,0.334,39.0983
Ar,38,9.749686,Ar,39,8.48E+09,-,0.063,39.0983
Ar,40,1.3195921,Ar,41,6.59E+03,1293.587,99.6003,39.0983
K,39,4.2306414,K,40,4.04E+16,1460.83,93.258144,39.948
K,41,4.066885,K,42,4.45E+04,1524.7,6.73,39.948
Ca,40,3.078476,Ca,41,-,-,96.94118,40.078
Ca,48,4.8558583,Ca,49,5.23E+02,3084.4,0.187,40.078
Sc,45,49.759922,Sc,46,7.42E+06,1120.545,100,44.9559
Ti,48,12.408583,Ti,49,-,-,73.81,47.867
Ti,50,3.9370031,Ti,51,3.46E+02,320.076,5.18,47.867
V,51,9.917221,V,52,2.25E+02,1434.06,99.7502,50.9415
Cr,50,17.92346,Cr,51,2.39E+06,320.0824,4.345,51.9961
Cr,52,3.9388363,Cr,53,-,-,83.78918,51.9961
Mn,55,15.4782095,Mn,56,9.31E+03,846.7638,100,54.938
Fe,54,4.450797,Fe,55,8.61E+07,126,5.85,55.845
Fe,56,14.813252,Fe,57,-,-,91.723,55.845
Fe,58,8.865337,Fe,59,3.85E+06,1099.251,0.28,55.845
Co,59,43.449116,Co,60m,6.30E+02,58.603,100,58.6934
Ni,58,29.2928,Ni,59,-,-,68.0779,58.9332
Ni,64,1.7729108,Ni,65,9.06E+03,1481.84,0.926,58.9332
Cu,63,9.642591,Cu,64,4.60E+04,1345.77,69.173,63.546
Cu,65,16.056808,Cu,66,3.07E+02,1039.2,30.85,30.85
Zn,64,4.7202864,Zn,65,2.11E+07,1115.546,48.63,65.39
Zn,68,5.6258063,Zn,69,4.95E+04,438.634,18.5,65.39
Zn,70,4.429293,Zn,71m,1.43E+04,386.28,0.6,65.39
Ga,69,9.868072,Ga,70,1.27E+03,1039.2,60.1089,69.723
Ga,71,10.037955,Ga,72,5.08E+04,834.03,39.89,69.723
Ge,70,16.967539,Ge,71,9.88E+05,-,20.52,72.64
Ge,74,7.745445,Ge,75,4.92E+03,264.6,35.942,72.64
As,75,9.996796,As,76,9.48E+04,559.1,100,74.9216
Se,74,59.463528,Se,75,1.03E+07,264.6576,0.86,78.96
Se,76,104.07865,Se,77m,1.74E+01,162,9.23,78.96
Se,80,7.60855,Se,81m,3.42E+03,103.01,49.611,78.96
Se,82,5.0719476,Se,83,1.34E+03,356.7,8.82,78.96
Br,79,14.363019,Br,80m,1.58E+04,37.052,50.697,79.904
Br,81,8.169742,Br,82,1.27E+05,776.517,49.303,79.904
Kr,86,5.473686,Kr,87,4.58E+03,402.587,17.28,83.8
Rb,85,6.787162,Rb,86m,1.61E+06,556.07,72.1652,85.4678
Rb,85,6.787162,Rb,86,1.61E+06,1077,72.1652,85.4678
Rb,87,4.5053825,Rb,88,1.07E+03,1836,27.83,85.4678
Rb,87,4.5053825,Rb,89,9.09E+02,2195.92,27.83,85.4678
Sr,84,6.3145943,Sr,85m,4.06E+03,231.86,0.56,87.62
Sr,86,3.81264,Sr,87m,1.01E+04,388.531,9.86,87.62
Sr,88,7.3080277,Sr,89,-,-,82.581,87.62
Y,89,9.019377,Y,90m,1.13E+04,202.53,100,88.9059
Zr,90,5.3062606,Zr,91,-,-,51.453,91.224
Zr,94,8.708723,Zr,95,5.53E+06,756.729,17.38,91.224
Zr,96,4.8730083,Zr,97,6.08E+04,743.36,2.8,91.224
Nb,93,7.5051775,Nb,94m,3.78E+02,871.099,100,92.9064
Mo,92,6.1204505,Mo,93,1.26E+11,30.77,14.65,95.94
Mo,98,5.8023863,Mo,99,2.38E+05,739.5,24.137,95.94
Mo,100,5.527806,Mo,101,8.77E+02,590.1,9.74,95.94
Tc,99,25.89004,,,-,-,trace,-
Ru,102,9.82839,Ru,103,3.41E+06,497.084,31.62,101.07
